product_id,proper_name,proper_name_f,common_name,common_name_f,potency_amount,potency_unit_of_measure,potency_unit_of_measure_f,potency_constituent,quantity,quantity_minimum,quantity_maximum,quantity_unit_of_measure,quantity_unit_of_measure_f,ratio_numerator,ratio_denominator,dried_herb_equivalent,dhe_unit_of_measure,dhe_unit_of_measure_f,extract_type_desc,extract_type_desc_f,source_material,source_material_f
100018,Krill oil,Huile de krill,Krill oil,Huile de krill,264.0,micrograms,microgrammes,Esterified astaxanthin,,,,,,,,,,,,,Euphausia superba - Whole,Euphausia superba - en entier 
100018,Krill oil,Huile de krill,Krill oil,Huile de krill,29.0,milligrams,milligramme,Docosahexaenoic acid,,,,,,,,,,,,,Euphausia superba - Whole,Euphausia superba - en entier 
100018,Krill oil,Huile de krill,Krill oil,Huile de krill,53.0,milligrams,milligramme,Eicosapentaenoic acid,500.0,,,milligrams,milligramme,,,,,,,,Euphausia superba - Whole,Euphausia superba - en entier 
100019,9-Hexadecenoic acid,Acide 9-Hexadécenoïque,Palmitoleic acid,Acide palmitoleique,,,,,110.0,,,milligrams,milligramme,,,,,,,,Palmitoleic acid,Acide palmitoléique 
100019,Fish oil,Huile de poisson,Fish oil,Huile de poisson,200.0,milligrams,milligramme,Docosahexaenoic acid,,,,,,,,,,,,,Clupeidae - Whole,Clupeidae - en entier 
100019,Fish oil,Huile de poisson,Fish oil,Huile de poisson,200.0,milligrams,milligramme,Docosahexaenoic acid,,,,,,,,,,,,,Engraulidae - Whole,Engraulidae - en entier 
100019,Fish oil,Huile de poisson,Fish oil,Huile de poisson,200.0,milligrams,milligramme,Docosahexaenoic acid,,,,,,,,,,,,,Scombridae - Whole,Scombridae - en entier 
100019,Fish oil,Huile de poisson,Fish oil,Huile de poisson,300.0,milligrams,milligramme,Eicosapentaenoic acid,1000.0,,,milligrams,milligramme,,,,,,,,Clupeidae - Whole,Clupeidae - en entier 
100019,Fish oil,Huile de poisson,Fish oil,Huile de poisson,300.0,milligrams,milligramme,Eicosapentaenoic acid,1000.0,,,milligrams,milligramme,,,,,,,,Engraulidae - Whole,Engraulidae - en entier 
100019,Fish oil,Huile de poisson,Fish oil,Huile de poisson,300.0,milligrams,milligramme,Eicosapentaenoic acid,1000.0,,,milligrams,milligramme,,,,,,,,Scombridae - Whole,Scombridae - en entier 
10002,Turmeric,Curcuma,,,,,,,1.0,,,ml,ml,1.0,3.0,,g,g,,,, 
100020,(S)-alpha-Amino-4-hydroxybenzenepropanoic acid,Acide (S)-alpha-amino-4-hydroxybenzènepropanoïque,L-Tyrosine,L-Tyrosine,,,,,110.0,,,milligrams,milligramme,,,,,,,,L-Tyrosine,L-Tyrosine 
100020,"3,7-Dihydro-1,3,7-trimethyl-1H-purine-2,6-dione","3,7-dihydro-1,3,7-triméthyl-1H-purine-2,6-dione",Caffeine,Cafeine,,,,,180.0,,,milligrams,milligramme,,,,,,,,Caffeine,Caféine 
100020,Capsicum annuum,Capsicum annuum,Cayenne pepper,Piment de cayenne,,,,,5.0,,,milligrams,milligramme,,,,,,,,Fruit,Fruit 
100020,Chromium,Chrome,,,,,,,100.0,,,micrograms,microgrammes,,,,,,,,Chromium picolinate,Picolinate de chrome 
100020,Citrus aurantium,Citrus aurantium,Bitter Orange,Orange amere,,,,,60.0,,,milligrams,milligramme,,,,,,,,Unripe fruit,Fruit non mûr 
100020,Paullinia cupana,Paullinia cupana,Guarana,guarana,,,,,90.0,,,milligrams,milligramme,,,,,,,,Seed pod,Seed pod 
100020,Piper nigrum,Piper nigrum,Black pepper,Poivre noir,,,,,5.0,,,milligrams,milligramme,,,,,,,,Fruit,Fruit 
